2020-10-09 20:39:16 - __main__ - INFO - This is a log info
2020-10-09 20:39:16 - __main__ - WARNING - Warning exists
2020-10-09 20:39:16 - __main__ - ERROR - This is a error
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1851857/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg', '蝙蝠侠：黑暗骑士', '\xa0\xa0The Dark Knight', '9.2', '785486', '无尽的黑暗', '导演: 克里斯托弗·诺兰 Christopher Nolan\xa0\xa0\xa0主演: 克里斯蒂安·贝尔 Christ... 2008\xa0 \xa0美国 英国\xa0 \xa0剧情 动作 科幻 犯罪 惊悚']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1292365/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg', '活着', ' ', '9.3', '608193', '张艺谋最好的电影', '导演: 张艺谋 Yimou Zhang\xa0\xa0\xa0主演: 葛优 You Ge   巩俐 Li Gong   姜武 Wu Jiang 1994\xa0 \xa0中国大陆 中国香港\xa0 \xa0剧情 历史 家庭']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1293172/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg', '末代皇帝', '\xa0\xa0The Last Emperor', '9.3', '570610', '“不要跟我比惨，我比你更惨”再适合这部电影不过了', '导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci\xa0\xa0\xa0主演: 尊龙 John Lone   陈... 1987\xa0 \xa0英国 意大利 中国大陆 法国\xa0 \xa0剧情 传记 历史']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/20495023/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg', '寻梦环游记', '\xa0\xa0Coco', '9.1', '1167060', '死亡不是真的逝去，遗忘才是永恒的消亡', '导演: 李·昂克里奇 Lee Unkrich   阿德里安·莫利纳 Adrian Molina\xa0\xa0\xa0主演: ... 2017\xa0 \xa0美国\xa0 \xa0喜剧 动画 奇幻 音乐']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1300267/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg', '乱世佳人', '\xa0\xa0Gone with the Wind', '9.3', '518387', 'Tomorrow is another day.', '导演: 维克多·弗莱明 Victor Fleming   乔治·库克 George Cukor\xa0\xa0\xa0主演: 费... 1939\xa0 \xa0美国\xa0 \xa0剧情 历史 爱情 战争']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291552/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg', '指环王3：王者无敌', '\xa0\xa0The Lord of the Rings: The Return of the King', '9.2', '572643', '史诗的终章', '导演: 彼得·杰克逊 Peter Jackson\xa0\xa0\xa0主演: 伊利亚·伍德 Elijah Wood   西恩... 2003\xa0 \xa0美国 新西兰\xa0 \xa0剧情 动作 奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/26387939/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg', '摔跤吧！爸爸', '\xa0\xa0Dangal', '9.0', '1188643', '你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子', '导演: 涅提·蒂瓦里 Nitesh Tiwari\xa0\xa0\xa0主演: 阿米尔·汗 Aamir Khan   法缇玛... 2016\xa0 \xa0印度\xa0 \xa0剧情 传记 运动 家庭']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/2129039/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg', '飞屋环游记', '\xa0\xa0Up', '9.0', '1010277', '最后那些最无聊的事情，才是最值得怀念的 ', '导演: 彼特·道格特 Pete Docter   鲍勃·彼德森 Bob Peterson\xa0\xa0\xa0主演: 爱德... 2009\xa0 \xa0美国\xa0 \xa0剧情 喜剧 动画 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1929463/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg', '少年派的奇幻漂流', '\xa0\xa0Life of Pi', '9.1', '1073301', '瑰丽壮观、无人能及的冒险之旅', '导演: 李安 Ang Lee\xa0\xa0\xa0主演: 苏拉·沙玛 Suraj Sharma   伊尔凡·可汗 Irrfan... 2012\xa0 \xa0美国 中国台湾 英国 加拿大\xa0 \xa0剧情 奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1293182/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg', '十二怒汉', '\xa0\xa012 Angry Men', '9.4', '346239', '1957年的理想主义 ', '导演: Sidney Lumet\xa0\xa0\xa0主演: 亨利·方达 Henry Fonda   马丁·鲍尔萨姆 Marti... 1957\xa0 \xa0美国\xa0 \xa0剧情']
